,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
2396540,sg:3c0da57d456e4ed2b240c825dd8a16c8,SafeSplash Swim School Manchester,NH,3103,713940.0,47,152.0,"{""<5"":0,""5-20"":10,""21-60"":7,""61-240"":13,"">240"":17}",42.945572999999996,-71.45336999999999,NH,33.0,33011.0,Hillsborough County,330110026003.0
2396552,sg:3ca29058f62a48a585ab8504dba76e33,Patten's Gas Retail,NH,3774,447110.0,3,38.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":0,"">240"":0}",44.079945,-72.019366,NH,33.0,33009.0,Grafton County,330099606002.0
2396645,sg:40233705325b4f45b777d8698761b209,State Line Grocery,NH,3609,445110.0,34,7.0,"{""<5"":4,""5-20"":27,""21-60"":3,""61-240"":0,"">240"":0}",43.139559000000006,-72.443589,NH,33.0,33005.0,Cheshire County,330059702001.0
2397001,sg:4b8010610c6546d8bcebecdb16ab38c0,Finn Steven Dr Dentist,NH,3079,621210.0,4,20.5,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":1,"">240"":0}",42.783451,-71.213824,NH,33.0,33015.0,Rockingham County,330151004003.0
2397538,sg:5e95985736504224bfe9e9d4c7b13176,Scott Trendell Ameriprise Financial Services,NH,3431,523930.0,5,44.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":2,"">240"":0}",42.933219,-72.28283499999999,NH,33.0,33005.0,Cheshire County,330059713004.0
2397544,sg:5eb32b4882084cdea728e749deb42649,Alicia Cafe,NH,3246,722511.0,16,232.5,"{""<5"":0,""5-20"":5,""21-60"":1,""61-240"":4,"">240"":6}",43.602387,-71.45452399999999,NH,33.0,33001.0,Belknap County,330019662003.0
2397596,sg:60b7e6e32e584d4698757d9e44eb750e,Hoppy's Country Store,NH,3071,445110.0,2,13.0,"{""<5"":1,""5-20"":0,""21-60"":1,""61-240"":0,"">240"":0}",42.759392,-71.873129,NH,33.0,33011.0,Hillsborough County,330110225002.0
2397612,sg:615c8e01be124eb1a973bf88274e859f,Shaw's,NH,3561,445110.0,123,15.0,"{""<5"":1,""5-20"":83,""21-60"":36,""61-240"":3,"">240"":0}",44.303051,-71.801523,NH,33.0,33009.0,Grafton County,330099601005.0
2397988,sg:6f72db7f4c224d46bc1bb1e6a6597e04,Attitash Mountain Resort,NH,3812,713920.0,23,34.0,"{""<5"":1,""5-20"":8,""21-60"":4,""61-240"":5,"">240"":5}",44.072457,-71.245688,NH,33.0,33003.0,Carroll County,330039551002.0
2398028,sg:7119a4f7fc014315aa6e63aed5578680,Squam Lakes Association,NH,3245,441222.0,7,168.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":4,"">240"":2}",43.725187,-71.563099,NH,33.0,33009.0,Grafton County,330099611004.0
