,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
22674,sg:15ec7358279a4298b5e732eeea432caf,MC's Pizza,RI,2914,722511.0,11,59.0,"{""<5"":0,""5-20"":2,""21-60"":4,""61-240"":5,"">240"":0}",41.819697999999995,-71.379874,RI,44.0,44007.0,Providence County,440070102007.0
22811,sg:1a2cb8a24a284dedbfb98beccb45461e,Rosales Landscaping,RI,2919,444130.0,80,8.0,"{""<5"":6,""5-20"":60,""21-60"":5,""61-240"":3,"">240"":6}",41.82327,-71.471964,RI,44.0,44007.0,Providence County,440070124012.0
22961,sg:1e52f17194804100956caff09f7dd79c,Alpha Omega Orthodontic,RI,2921,621210.0,26,53.0,"{""<5"":0,""5-20"":5,""21-60"":10,""61-240"":11,"">240"":0}",41.788059999999994,-71.528756,RI,44.0,44007.0,Providence County,440070146002.0
23472,sg:2ece0a473012449ea25cdfd987c2bfe0,Ronzio Pizza,RI,2919,722511.0,7,9.0,"{""<5"":0,""5-20"":6,""21-60"":0,""61-240"":1,"">240"":0}",41.826974,-71.512849,RI,44.0,44007.0,Providence County,440070122001.0
23644,sg:34fe9f45a201418da4add58060f8003f,Aero Trampoline Park,RI,2895,713940.0,3,9.0,"{""<5"":0,""5-20"":2,""21-60"":1,""61-240"":0,"">240"":0}",42.017187,-71.47958,RI,44.0,44007.0,Providence County,440070184003.0
23829,sg:3b4f79884c1145e799194d9f00ba618a,Pickles A Deli,RI,2842,722511.0,2,49.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":0}",41.513399,-71.28314300000001,RI,44.0,44005.0,Newport County,440050404002.0
23898,sg:3dc67fac9f5246be8a5f6d87551bff49,Sports Heroes,RI,2920,451110.0,9,571.0,"{""<5"":1,""5-20"":1,""21-60"":2,""61-240"":0,"">240"":5}",41.755334000000005,-71.476659,RI,44.0,44007.0,Providence County,440070144002.0
24248,sg:48c55a6317954b768753c7e235d35361,Olympia Fitness and Performance,RI,2920,713940.0,1,49.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":0,"">240"":0}",41.751444,-71.446489,RI,44.0,44007.0,Providence County,440070139003.0
25267,sg:6dddb0fe31e645febbb8c0c002219c52,The Troll Shop,RI,2818,453310.0,19,129.0,"{""<5"":0,""5-20"":1,""21-60"":3,""61-240"":11,"">240"":4}",41.662864,-71.449892,RI,44.0,44003.0,Kent County,440030209011.0
25359,sg:7107dd53ae2d4651b930b09b8dacf3e5,Cumberland Animal Hospital,RI,2864,541940.0,11,41.0,"{""<5"":0,""5-20"":2,""21-60"":6,""61-240"":0,"">240"":3}",41.9689,-71.44720500000001,RI,44.0,44007.0,Providence County,440070114022.0
25711,sg:7ccaa7c9688242e8a15d39822a75ca55,El Mogote,RI,2905,722511.0,18,17.5,"{""<5"":0,""5-20"":10,""21-60"":5,""61-240"":2,"">240"":1}",41.792311,-71.40701700000001,RI,44.0,44007.0,Providence County,440070001021.0
25713,sg:7ceba6cb3e7e4dc18be09bb45517b122,American Rare Coin,RI,2916,451120.0,11,10.0,"{""<5"":0,""5-20"":10,""21-60"":1,""61-240"":0,"">240"":0}",41.850659,-71.354671,RI,44.0,44007.0,Providence County,440070101011.0
26847,sg:a517a437588a45599ad682f58e32be37,McDonald's,RI,2891,722513.0,55,8.0,"{""<5"":5,""5-20"":38,""21-60"":2,""61-240"":7,"">240"":3}",41.370321999999994,-71.82050500000001,RI,44.0,44009.0,Washington County,440090508021.0
26973,sg:a973133113e24e08854ad0b12e6472b4,Prestiege 2 Automart,RI,2914,441120.0,1,10.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.820324,-71.36399200000001,RI,44.0,44007.0,Providence County,440070103002.0
27132,sg:affedb12ffb84038b0259cf63af91dad,East Providence Urgent Care,RI,2914,621493.0,9,20.0,"{""<5"":0,""5-20"":5,""21-60"":2,""61-240"":2,"">240"":0}",41.821058,-71.359706,RI,44.0,44007.0,Providence County,440070103002.0
27159,sg:b0b800071ed74820a079bf1a02914d39,New England Rabbinical College,RI,2906,611310.0,1,23.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":0,"">240"":0}",41.842431,-71.38676,RI,44.0,44007.0,Providence County,440070034002.0
